name;iso_country;municipality;icao_code
ABC7-TV Heliport;US;Glendale;
Jecan Airport;US;Branson;
William P Gwinn Airport;US;Jupiter;
Grass Roots Airpark;US;Mascotte;
Morton Plant Hospital Heliport;US;Clearwater;
Smith Heliport;US;Redan;
Patoka Reservoir Landing Area Seaplane Base;US;French Lick;
Rich Field;US;Walford;
Larkin Airport;US;Kuna;
Humm Airport;US;Earlville;
Sinele Strip;US;Nauvoo;
Riverside Hospital Airlift Heliport;US;Wichita;
Panther Helicopters Inc Heliport;US;Belle Chasse;
Tembec Heliport;US;St Francisville;
The Barn Heliport;US;Pepperell;
Johns Hopkins Bayview Hospital Heliport;US;Baltimore;
Barker Heliport;US;Bethel;
Henry Ford Jackson Hospital Heliport;US;Jackson;
Noahs Ark Airport;US;Waldron;
Torgerson Airport;US;Ethridge;
Randall Airport;US;Middletown;
Tailwinds Airport;US;St. Pauls;
Fitterer's Strip;US;Glen Ullin;
St Marys Hospital Heliport;US;Nebraska City;
Cole Farm Airport;US;Kensington;
Silver Creek Airport;US;Baker;
Murphy Field;US;Auburn;
Saint Elizabeth Medical Center Heliport;US;Youngstown;
Hal Joy Airfield;US;Williamsfield;
Green Acres Airport;US;New Lebanon;
Albert Lodge Heliport;US;Grove;
Hayden Mountain Airport;US;Forest Grove;
Freefall Oz Airport;US;Ceres;
Schiavoni Heliport;US;Harrisburg;
Cherokee Island Castle Heliport;US;West Homestead;
Glaser Field;US;Buckholts;
Ainsworth Airport;US;Cleveland;
Hunter Airport;US;Columbia;
6 Mile Airpark;US;Fort McKavett;
Diamond N Ranch Airport;US;Hockley;
Mount Horeb Field;US;Grottoes;
N A Degerstrom Yard Heliport;US;Spokane;
Western Airpark;US;Yelm;
J & W Windy Hill Airport;US;Van Alstyne;
Campbell Field;US;Aubrey;
Herman Municipal Airport;US;Herman;
Pan Lake Strip Airport;US;Willow;
Tac X Stagefield Army Heliport;US;Fort Rucker/Samson;
Bro Majors Airfield;US;Trapper Creek;
Morrilton Airport;US;Morrilton;
Blue Hill Airport;US;Blue Hill;
Richvale Airport;US;Richvale;
Comanche Creek Airport;US;Kiowa;
Ocean Reef Club Airport;US;Key Largo;
Alcovy Airport;US;Covington;
Pope Pate Field;US;Ocilla;
Lake Monroe Seaplane Base;US;Bloomington;
Hoskins Landing;US;Shambaugh;
St Vincent Jennings Hospital Heliport;US;North Vernon;
Gray Airport;US;Boggstown;
Central City Municipal - Larry Reineke Field;US;Central City;
Heape Field;US;Augusta;
Blue Lick Airport;US;Louisville;
Louisiana State Police Troop F Heliport;US;Monroe;
West Pond Heliport;US;Plymouth;
Baugher's Orchard Airport;US;Westminster;
Westbrook Heliport;US;Westbrook;
Scott Airstrip;US;Lake;
Dairyview Airport;US;Hadley;
Lake Sexton Airport;US;Warrensburg;
Glasgow Industrial Airport;US;Glasgow;
Bermudian Valley Airpark;US;Washington Township;
Hawks Meadow Airport;US;Waxhaw;
Diving Rock Seaplane Base;US;Washington;
Hackensack UMC Palisades Heliport;US;North Bergen;
Border Line Farm Airport;US;Baker;
Mmc Heliport;US;Monticello;
Pleasant Valley Airport;US;Snyder;
Bruce's Airport;US;Milwaukie;
Folmar Airport;US;Grassflat;
Advanced Public Health of Isabela Heliport;PR;Isabela;
Salaika Aviation Airport;US;Danbury;
Cuddihy Field;US;Corpus Christi;
Cross-Country Estates Airport;US;Hutto;
Pecks Heliport;US;Princeton;
E Northrop Grumman Airport;US;Howell;
Alpha Hotel Airport;US;Clover;
Meadow STOLport;US;Jericho;
Multicare Deaconess Hospital Heliport;US;Spokane;
Stallions Airport;US;Sheridan;
Luecke Heliport;US;Smithville;
Allen Ponderosa Heliport;US;Crowley;
Hill City-Quadna Mountain Airport;US;Hill City;
Fisher Airport;US;Big Lake;
Little Lagoon Seaplane Base;US;Gulf Shores;
Base Camp Airstrip;US;Palmer,;
Mesa Police Heliport;US;Mesa;
Merrymeeting Field;US;Bowdoinham;
PG&E Placerville Service Center Heliport;US;Placerville;
Kistler Ranch Airport;US;Jamestown;
Tulare Motor Sports #1 Heliport;US;Tulare;
Terra Firma Airport;US;Rush;
Seavair's Landing Seaplane Base;US;Winsted;
City of Coalgate Airport;US;Coalgate;
Duda Airstrip;US;La Belle;
Sunniland Ranch Airport;US;Okeechobee;
J. H. Hendrie Farms Airport;US;Lake Placid;
Salt Fork Lodge Heliport;US;Cambridge;
Sapelo Island Airport;US;Darien;
Hyundai Motor Group Metaplant America Heliport;US;Ellabell;
Symms Airport;US;Marsing;
Parkview Lagrange Hospital Heliport;US;Lagrange;
Winona Lake Seaplane Base;US;Winona Lake;
Hemmer RLA Restricted Landing Area;US;Du Quoin;
Alderson Airport;US;Bennington;
Deaconess Union County Hospital Heliport;US;Morganfield;
Boss Airport;US;Burnside;
Air Oil Inc Nr 2 Heliport;US;Harahan;
Sauer Airport;US;Dwight;
Aeleron Airport;US;Sunset;
Wormid Airport;US;Southborough;
UM Saint Joseph Medical Center Heliport;US;Towson;
Lindbergh Airport;US;Avon;
Sparrow Hospital Heliport;US;Lansing;
Christenson Point Seaplane Base;US;Chisholm/Hibbing;
Twin Oaks Airport;US;Jasper;
Midsouth Airpark;US;Coldwater;
Matovich Airport;US;Grass Range;
Keller Brothers Airport;US;Lebanon;
Whiteheart Farm Airport;US;Lewisville;
Brecht Strip;US;Golden Valley;
Laurel Municipal Airport;US;Laurel;
Memorial Hospital Heliport;US;North Conway;
St Barnabas Medical Center Heliport;US;Livingston;
Bell Mountain Airport;US;Zirconia;
Md1 Airport;US;Middletown;
Kenley Airport;US;Hartford;
Parks Airport;US;Wilburton;
Broken B Airport;US;Hydro;
Saxon Sycan Airport;US;Summer Lake;
Pocono Raceway Heliport;US;Long Pond;
Thomson Heliport;US;Lancaster;
Richmond Airport;US;West Kingston;
Douglas County Memorial Hospital Heliport;US;Armour;
Rancho Del Lago Heliport;US;Fischer;
PTC Airport;US;Fayetteville;
LZ Tango Charlie Airport;US;Fredericksburg;
Cross Wind Airport;US;Weatherford;
Stevens-Crosby Airport;US;Elko;
Pinelodge Runway;US;La Sal;
Springwood Airstrip;US;Buchanan;
Knolle Ranch Airport;US;Snook;
Peterson Airport;US;Old Ocean;
Sheldon Chalet Heliport;US;Talkeetna;
West Beaver Airport;US;Big Lake;
Greene County Hospital & Nursing Home Heliport;US;Eutaw;
Magnolia Hospital Heliport;US;Magnolia;
Stronghold Airport;US;St David;
Mee Memorial Hospital Heliport;US;King City;
Alta Sierra Airport;US;Grass Valley;
Tulare Motor Sports #2 Heliport;US;Tulare;
Cottonwood Field;US;Rocky Ford;
Placid Lakes Airport;US;Lake Placid;
Cheryl-Lane Landings Airport;US;Bushnell;
Hard Rock Stadium West Heliport;US;Miami Gardens;
Sunbelt Strip;US;Moultrie;
International Falls Seaplane Base;US;International Falls;
Skydive Iowa Airport;US;Brooklyn;
Taylor Ranch Landing Area Airport;US;Moscow;
Gibbons Field;US;Valeene;
Gordon Airport;US;Columbia City;
Swedish American Heliport;US;Rockford;
Coffman Airport;US;Wellsville;
Baptist Hospital East Heliport;US;Louisville;
Era Helicopters Fourchon Helibase Heliport;US;Golden Meadow;
Pine Hill Airport;US;Capron;
West Feliciana Sheriff's Office Heliport;US;St Francisville;
Kallander Field;US;Southborough;
Fly Deep Creek Heliport;US;McHenry;
Perrotti Skyranch Airfield;US;Berwick;
Michigan National Guard Headquarters Heliport;US;Lansing;
Hogue Farm Airport;US;Willard;
Paint Creek Ranch Airport;US;Sula;
Airhaven Airport;US;Staatsburg;
William Irving Lewis Airport;US;Broadway;
Summer Hill Farm Airport;US;Bennington;
Stonebridge Farm Helistop;US;Somerville;
Dakota Air Ranch Airport;US;Ramseur;
West Henderson Hospital Heliport;US;Henderson;
Spring Lake Fire Department Heliport;US;Kingston;
Ragtime Aerodrome;US;Collinsville;
Mid-Columbia Medical Center Heliport;US;The Dalles;
Eagle Field;US;Port Matilda;
Hundley Residence Heliport;US;Kintersville;
Sullivan Lake State Airport;US;Metaline Falls;
Lazy G Bar Ranch Airport;US;Decatur;
Running M Ranch Airport;US;Glen Rose;
Univ of Tennessee Medical Center Heliport;US;Knoxville;
Pitcock Rosillos Mountain Ranch Airport;US;Marathon;
Smokey Mountain Ranch Airport;US;Sheffield;
Alum Ridge STOLport;US;Floyd;
Augusta Medical Center Heliport;US;Fishersville;
South Capitol Street Heliport;US;Washington;
